autor,titulo,enlace_afiliado
Editorial MAD,"Auxiliar de enfermería Vol. 1","https://www.amazon.es/AUXILIAR-ENFERMERIA-1-AA-VV/dp/8414286925?crid=341F5WTIIMMCK&dib=eyJ2IjoiMSJ9.kP3vyMHQ3sByDMSiKPGkG0SVvO1M675ZUJ7-ahFT4aidJfgPFjPlNyiTPIA1shvahLB0Cr8Y-ucgrikIqftpK8l1eaFMU7o111TN4yAQ9pDagdREfXUUZ8hJIztFyLXnBXO4TqLEWDX2mtsRxEMKk2dAHXnj5nHSiL2IIMQ_Rjdeua5_oh5UbKsQEDzUaap2_xZJMlbfX_1jVvj0nNfohwOJ5dfH8n_xEst31L4mvHy_KXShIxHCxHeilZuob8E1PH-jxs4UNPJacO3zFGUMp3ZpNeMaQFgQrcEU08LILeY.yMebJFpHyGwilvsmVtmA9GSeyIIuYVBxLpl2i9V3vc0&dib_tag=se&keywords=editorial+mad+oposiciones&qid=1761121441&sprefix=oposiciones+mad+%2Caps%2C109&sr=8-1&linkCode=ll1&tag=nexora090-21&linkId=a5fcf4e92afc2b24db842e2dfe79ec43&language=es_ES&ref_=as_li_ss_tl"
Miguel Ángel Montero,"Tatá","https://www.amazon.es/Tat%C3%A1-arrollador-mill%C3%B3n-lectores-NEFELIBATA/dp/8410346532?crid=3OAIRE3GIRV48&dib=eyJ2IjoiMSJ9.mQEfcjpKlb2PcG8x1aHik9reMyhSQ4323N2Wxo6-G06wza0CTmt4Ybrfo_8nMg5UYecCvWxEeW-oh20BFKFDm12oNwqOdz--didIVaDrHjCd_-wBpeTtb7iOPD8-D2nurRXUDaPDJB1bl0zKNapL-aBt3RpUKWy4SkjkVsjtDZNXTmlbd9xoQDcx-wqiEkTbTiawqeAEbJXXhClIELwtKP29kxrB1T1jmzJ3pcZ4y6C-d-X_XAcfW2XNkX_j8SLzEMPXKvUmFtmz-dfcl8X92YdI_eFLQ_LJxOyb7zOKGbA.qmITfEF1ImUorMVYuqzcs5tX2LTbpiizEZ8t4N1-ugQ&dib_tag=se&keywords=top+libros+mas+vendidos+2025&qid=1761141628&sprefix=top+li%2Caps%2C74&sr=8-2-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1&linkCode=ll1&tag=nexora090-21&linkId=eaec2400f0beecc6169adc5740c51589&language=es_ES&ref_=as_li_ss_tl"
Alex Michaelides,"La paciente silenciosa","https://www.amazon.es/paciente-silenciosa-Best-Seller/dp/8466351930?__mk_es_ES=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=2WEMHD1JAOM9L&dib=eyJ2IjoiMSJ9.mQEfcjpKlb2PcG8x1aHik9reMyhSQ4323N2Wxo6-G06wza0CTmt4Ybrfo_8nMg5UYecCvWxEeW-oh20BFKFDm12oNwqOdz--didIVaDrHjCd_-wBpeTtb7iOPD8-D2nurRXUDaPDJB1bl0zKNapL-aBt3RpUKWy4SkjkVsjtDZNXTmlbd9xoQDcx-wqiEkTbTiawqeAEbJXXhClIELwtKP29kxrB1T1jmzJ3pcZ4y6C-d-X_XAcfW2XNkX_j8SLzEMPXKvUmFtmz-dfcl8X92YdI_eFLQ_LJxOyb7zOKGbA.qmITfEF1ImUorMVYuqzcs5tX2LTbpiizEZ8t4N1-ugQ&dib_tag=se&keywords=top+libros+mas+vendidos+2025&qid=1761141672&sprefix=top+libros+mas+vendidos+2025%2Caps%2C80&sr=8-6&linkCode=ll1&tag=nexora090-21&linkId=5fd985ff48e0503b4bd2b1b97ae8d89c&language=es_ES&ref_=as_li_ss_tl"
Miguel Ángel Montero,"Café a solas","https://www.amazon.es/CAF%C3%89-SOLAS-MIGUEL-%C3%81NGEL-MONTERO/dp/8409465116?__mk_es_ES=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=EUSQZYYGKHAV&dib=eyJ2IjoiMSJ9.mQEfcjpKlb2PcG8x1aHik9reMyhSQ4323N2Wxo6-G06wza0CTmt4Ybrfo_8nMg5UYecCvWxEeW-oh20BFKFDm12oNwqOdz--didIVaDrHjCd_-wBpeTtb7iOPD8-D2nurRXUDaPDJB1bl0zKNapL-aBt3RpUKWy4SkjkVsjtDZNXTmlbd9xoQDcx-wqiEkTbTiawqeAEbJXXhClIELwtKP29kxrB1T1jmzJ3pcZ4y6C-d-X_XAcfW2XNkX_j8SLzEMPXKvUmFtmz-dfcl8X92YdI_eFLQ_LJxOyb7zOKGbA.qmITfEF1ImUorMVYuqzcs5tX2LTbpiizEZ8t4N1-ugQ&dib_tag=se&keywords=top+libros+mas+vendidos+2025&qid=1761141803&sprefix=top+libros+mas+vendidos+2025%2Caps%2C85&sr=8-4-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1&linkCode=ll1&tag=nexora090-21&linkId=5063754d194e862f1530d8146e600fc0&language=es_ES&ref_=as_li_ss_tl"
Robin Sharma,"El monje que vendió su Ferrari","https://www.amazon.es/monje-vendi%C3%B3-Ferrari-edici%C3%B3n-lujo/dp/8425362547?_encoding=UTF8&dib_tag=se&dib=eyJ2IjoiMSJ9.mQEfcjpKlb2PcG8x1aHik9reMyhSQ4323N2Wxo6-G06wza0CTmt4Ybrfo_8nMg5UYecCvWxEeW-oh20BFKFDm12oNwqOdz--didIVaDrHjCd_-wBpeTtb7iOPD8-D2nurRXUDaPDJB1bl0zKNapL-aBt3RpUKWy4SkjkVsjtDZNXTmlbd9xoQDcx-wqiEkTbTiawqeAEbJXXhClIELwtKP29kxrB1T1jmzJ3pcZ4y6C-d-X_XAcfW2XNkX_j8SLzEMPXKvUmFtmz-dfcl8X92YdI_eFLQ_LJxOyb7zOKGbA.qmITfEF1ImUorMVYuqzcs5tX2LTbpiizEZ8t4N1-ugQ&dib_tag=se&qid=1761141853&sr=8-4-spons&linkCode=ll1&tag=nexora090-21&linkId=30ffb7953302f69d530c0c00e8b45a68&language=es_ES&ref_=as_li_ss_tl"
Editorial MAD,"Ordenanza Ayuntamientos, Diputaciones y otras Corporaciones","https://www.amazon.es/Ordenanza-Ayuntamientos-Diputaciones-Corporaciones-comentados/dp/8414294650?crid=J0CD608F0CJM&dib=eyJ2IjoiMSJ9.kP3vyMHQ3sByDMSiKPGkG0SVvO1M675ZUJ7-ahFT4aidJfgPFjPlNyiTPIA1shvasx0Zr9o8r0AGMBl55bx5_dMzZDVNu0lJmkGkCtSF8D36vwbq3NcChiICdcGn2gBX6LpOAon6uUlScZJ5j3uusysP3m2WU4E4IYVIm7lp6FxFvrjiw9udnorgy_RbEQhwO8IjL33NB2JIB0tmz1EpxaL_JVNBnwwxjT85IuK8MoYXXWtpTNexbuACc8DEZ8gEPH-jxs4UNPJacO3zFGUMp7sOv_ngzcRsWOfNfG-8CuY.y7VBtpdTxUFUXVKnpWVVDJQSW2FU5pUEpNkLk7SnsWQ&dib_tag=se&keywords=editorial+mad+oposiciones&qid=1761142008&sprefix=editorial+mad%2Caps%2C71&sr=8-2&linkCode=ll1&tag=nexora090-21&linkId=1b49b07f02c070b0875c2ce05b03cc58&language=es_ES&ref_=as_li_ss_tl"
"Varios autores","Inteligencia Emocional · Autodisciplina · Psicología · Manipulación","https://www.amazon.es/Inteligencia-Emocional-Autodisciplina-Psicolog%C3%ADa-Manipulaci%C3%B3n/dp/B0BGFHKJP6?crid=2AVFO4ORCQ7FI&dib=eyJ2IjoiMSJ9.b3nqXDWcftQm-AWbARCXo-LG7uT2WGtPizvX6qWZcCt-FZxFo2--S8AZMbj1qfYLqRWkVLVMRcLeHOkJJGwfB7zv-w_3cmsWFdFffxiQijkyqU4Fff6pmvr6T-S-VU67OZB_KJ49MCjBgxys9TW4viwArsb9aAWjWgOMuun9xcG3nsCiyACRFDlXv_CD1wTQuGsH1TkWXsMr6qbVcEsjYrsxY_r7MggbjzOCfmvwjHY_iJTFtVs3BLxRsk5pcJKPmFDOS-P4chhV5c1NrpS_w2GuaryDCWTKgpog8nzywD0.T4WISAQhDjT2K8Vqrt0KH8kLG3haJo1jeJXjCC5zzxE&dib_tag=se&keywords=libros+psicologia+mas+vendidos&qid=1761475310&sprefix=lib+ros+psicologia%2Caps%2C105&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1&linkCode=ll1&tag=nexora090-21&linkId=ad3fd0d9b8cbbf414f9bce67d8870c6e&language=es_ES&ref_=as_li_ss_tl"
Fabián Goleman,"TDAH: Domina tu Mente, Concentración e Hiperactividad","https://www.amazon.es/TDAH-Domina-Mente-Concentraci%C3%B3n-Hiperactividad/dp/B0FBR9RR3L?crid=2AVFO4ORCQ7FI&dib=eyJ2IjoiMSJ9.b3nqXDWcftQm-AWbARCXo-LG7uT2WGtPizvX6qWZcCt-FZxFo2--S8AZMbj1qfYLqRWkVLVMRcLeHOkJJGwfB7zv-w_3cmsWFdFffxiQijkyqU4Fff6pmvr6T-S-VU67OZB_KJ49MCjBgxys9TW4viwArsb9aAWjWgOMuun9xcG3nsCiyACRFDlXv_CD1wTQuGsH1TkWXsMr6qbVcEsjYrsxY_r7MggbjzOCfmvwjHY_iJTFtVs3BLxRsk5pcJKPmFDOS-P4chhV5c1NrpS_w2GuaryDCWTKgpog8nzywD0.T4WISAQhDjT2K8Vqrt0KH8kLG3haJo1jeJXjCC5zzxE&dib_tag=se&keywords=libros+psicologia+mas+vendidos&qid=1761475310&sprefix=lib+ros+psicologia%2Caps%2C105&sr=8-2-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1&linkCode=ll1&tag=nexora090-21&linkId=a7763815d42b6e0c0cc6b70a20e69e47&language=es_ES&ref_=as_li_ss_tl"
Marian Rojas Estapé,"Cómo hacer que te pasen cosas buenas","https://www.amazon.es/C%C3%B3mo-hacer-pasen-cosas-buenas/dp/8467053305?crid=2AVFO4ORCQ7FI&dib=eyJ2IjoiMSJ9.b3nqXDWcftQm-AWbARCXo-LG7uT2WGtPizvX6qWZcCt-FZxFo2--S8AZMbj1qfYLqRWkVLVMRcLeHOkJJGwfB7zv-w_3cmsWFdFffxiQijkyqU4Fff6pmvr6T-S-VU67OZB_KJ49MCjBgxys9TW4viwArsb9aAWjWgOMuun9xcG3nsCiyACRFDlXv_CD1wTQuGsH1TkWXsMr6qbVcEsjYrsxY_r7MggbjzOCfmvwjHY_iJTFtVs3BLxRsk5pcJKPmFDOS-P4chhV5c1NrpS_w2GuaryDCWTKgpog8nzywD0.T4WISAQhDjT2K8Vqrt0KH8kLG3haJo1jeJXjCC5zzxE&dib_tag=se&keywords=libros+psicologia+mas+vendidos&qid=1761475310&sprefix=lib+ros+psicologia%2Caps%2C105&sr=8-8&linkCode=ll1&tag=nexora090-21&linkId=34420c152d516f99d9a82ae658ee2ffc&language=es_ES&ref_=as_li_ss_tl"
José Antonio Menéndez de Lucas,"Manual de medicina forense para estudiantes de Medicina","https://www.amazon.es/Manual-medicina-forense-estudiantes-Medicina/dp/8413825369?__mk_es_ES=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=3KHZXK0QAP1FG&dib=eyJ2IjoiMSJ9.LGf_JiX-gp0bi2ECkNYbHOGcNxHyI5-UeqHhVkKSgPRc2huCdWGyWXqkyGhbbCTTF2GnEN4yfzZbWqJ5qTXTidW0ip6Fv-znnKmYIOPnPtyfQWorRfnTJeHC7PQP3UcMaKyaCvSqDyhm-egoXoVkOP-LuDmb8dF5zXn0UoRethwqJTAb7w6anNK2ZgCwt5KaLnJeg_EG53wQEsu03bwdCHKYP4aQiusnrfN9yUxxw8_g3-IKn1zbQNhqplPQW3-9UYEDplkhTguyc3WyQxSC6NyobvDebgISozorRZNNPNc.bDVUZ1pLNydoyOHgi1zV4bu_Gu6Umrw25bYHfFGWVWY&dib_tag=se&keywords=libros+universitarios+medicina&qid=1761475603&sprefix=libros+universitarios+medicina%2Cunder-ten-dollars%2C83&sr=8-6&linkCode=ll1&tag=nexora090-21&linkId=952585c5201cb5cede9b8674622aeb1a&language=es_ES&ref_=as_li_ss_tl"
Anna Stuart,"La enfermera de Auschwitz","https://www.amazon.es/enfermera-Auschwitz-KING-Anna-Stuart/dp/8410080427?crid=3FV0PABTPZJTI&dib=eyJ2IjoiMSJ9.n4Ek2JWHvUonrxySrS1pxLOIFrVYsqCHK17WjTURwNiLkzwab-nEZ29taIdnOppk0PmByBpOWMgbw2mfroABZHzcLOu66P-FyuZ7Lg5Vi75HOHgMNpI4eS1HFeK-U3hbw2Gl5IqrJZsVs12lzALLcLBJt1CwW_SbqQOs_dpCQ85ajtZFyy0fMdgZtQOJuXhK8HAnlqpWiQou8vCWohi9D5K0DEyMf_uHtY4nAKRJbnBhgXiZYlvx1EY2vdDj6_FO5nYJfq2vs4lCsvvzgDiJFrJ_VD86KXih818Hq-ph_xo.Et6--AZ50_6ynr5ekwLexijDdJdpdx51nq6T-i4G9GU&dib_tag=se&keywords=libros+mas+vendidos+2025&qid=1762014985&sprefix=libros%2Caps%2C169&sr=8-7&linkCode=ll1&tag=nexora090-21&linkId=df255650b20f7478f7185af96f06a94f&language=es_ES&ref_=as_li_ss_tl"
María Martínez,"Cuando ya no queden estrellas que contar","https://www.amazon.es/Cuando-queden-estrellas-contar-Novela/dp/8408263544?crid=2YNHPBTEW6J9H&dib=eyJ2IjoiMSJ9.MfyUe0tGox5oCQciRBSAcgUwfmsz8IPIWV1p9ekqSuOL67jxu4WQiekOzJNK7FoN8_Qo8RoJgh8RMgHu0g2WKmXy-MKEwsat1eF0enTSizH_sajeoG97zpB11BYk3zk012NFTXQ99ws65dCSKe0S_HoXMWZ2bIUuQrbMh-4XmWJgQnPLpJekbRAqK2oSFZW4BdWPZ7wb8_rsYbEquPVXsEmQibtdhPL5nWNsCOhg_4-jt-ryUah6gVHvFQShni2H1b73LkzvYT3kwUEgz3UhEPuKzy-D-Sya6jtCgy2xQ6Y.uqLo4uD5wxU2mYoDTDDCpEtAYkr2zaDquU4XOYNMBo8&dib_tag=se&keywords=libros+juveniles+m%C3%A1s+vendidos+2025&qid=1762015441&sprefix=libros+juveniles+m%C3%A1s+vendidos%2Caps%2C100&sr=8-1&linkCode=ll1&tag=nexora090-21&linkId=8572133b4717d4cb037ed1fcb1da4442&language=es_ES&ref_=as_li_ss_tl"
Freida McFadden,"La asistenta","https://www.amazon.es/asistenta-adictivo-thriller-arrasando-internacionalmente/dp/8491294287?crid=ER4Y48F9TUMD&dib=eyJ2IjoiMSJ9.n4Ek2JWHvUonrxySrS1pxLOIFrVYsqCHK17WjTURwNiLkzwab-nEZ29taIdnOppk0PmByBpOWMgbw2mfroABZHzcLOu66P-FyuZ7Lg5Vi75HOHgMNpI4eS1HFeK-U3hbw2Gl5IqrJZsVs12lzALLcLBJt1CwW_SbqQOs_dpCQ85ajtZFyy0fMdgZtQOJuXhK8HAnlqpWiQou8vCWohi9D5K0DEyMf_uHtY4nAKRJbnBhgXiZYlvx1EY2vdDj6_FO5nYJfq2vs4lCsvvzgDiJFrJ_VD86KXih818Hq-ph_xo.Et6--AZ50_6ynr5ekwLexijDdJdpdx51nq6T-i4G9GU&dib_tag=se&keywords=libros+mas+vendidos+2025&qid=1762019887&sprefix=libros%2Caps%2C148&sr=8-15&linkCode=ll1&tag=nexora090-21&linkId=48fd0ecfa877f27934a76e1b541475a2&language=es_ES&ref_=as_li_ss_tl"
Arturo Pérez-Reverte,"Una historia de España","https://www.amazon.es/Una-historia-Espa%C3%B1a-Best-Seller/dp/8466359648?__mk_es_ES=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=Q2WPOWLIVW4M&dib=eyJ2IjoiMSJ9.n4Ek2JWHvUonrxySrS1pxLOIFrVYsqCHK17WjTURwNiLkzwab-nEZ29taIdnOppk0PmByBpOWMgbw2mfroABZHzcLOu66P-FyuZ7Lg5Vi75HOHgMNpI4eS1HFeK-U3hbw2Gl5IqrJZsVs12lzALLcLBJt1CwW_SbqQOs_dpCQ85ajtZFyy0fMdgZtQOJuXhK8HAnlqpWiQou8vCWohi9D5K0DEyMf_uHtY4nAKRJbnBhgXiZYlvx1EY2vdDj6_FO5nYJfq2vs4lCsvvzgDiJFrJ_VD86KXih818Hq-ph_xo.Et6--AZ50_6ynr5ekwLexijDdJdpdx51nq6T-i4G9GU&dib_tag=se&keywords=libros+mas+vendidos+2025&qid=1762019985&sprefix=libros+mas+vendidos+2025%2Caps%2C108&sr=8-16&linkCode=ll1&tag=nexora090-21&linkId=37cb665bb8eac27eb08f212783344a6f&language=es_ES&ref_=as_li_ss_tl"
Alex Michaelides,"La paciente silenciosa (variante de enlace)","https://www.amazon.es/paciente-silenciosa-Best-Seller/dp/8466351930?__mk_es_ES=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=Q2WPOWLIVW4M&dib=eyJ2IjoiMSJ9.n4Ek2JWHvUonrxySrS1pxLOIFrVYsqCHK17WjTURwNiLkzwab-nEZ29taIdnOppk0PmByBpOWMgbw2mfroABZHzcLOu66P-FyuZ7Lg5Vi75HOHgMNpI4eS1HFeK-U3hbw2Gl5IqrJZsVs12lzALLcLBJt1CwW_SbqQOs_dpCQ85ajtZFyy0fMdgZtQOJuXhK8HAnlqpWiQou8vCWohi9D5K0DEyMf_uHtY4nAKRJbnBhgXiZYlvx1EY2vdDj6_FO5nYJfq2vs4lCsvvzgDiJFrJ_VD86KXih818Hq-ph_xo.Et6--AZ50_6ynr5ekwLexijDdJdpdx51nq6T-i4G9GU&dib_tag=se&keywords=libros+mas+vendidos+2025&qid=1762019985&sprefix=libros+mas+vendidos+2025%2Caps%2C108&sr=8-21&linkCode=ll1&tag=nexora090-21&linkId=a48de4bc01ea64cd6a68c94b34a6375a&language=es_ES&ref_=as_li_ss_tl"
